on,-1,48,-16,38,-20,25
on,-18,29,-44,3,-10,43
on,-34,16,-15,32,-46,4
on,-22,27,-19,33,-7,47
on,-19,31,-31,20,-18,32
on,-37,9,-11,35,-17,27
on,-41,13,-41,13,-14,37
on,-12,37,-37,7,-2,46
on,-17,27,-22,23,-16,34
on,-45,9,-20,30,-41,3
off,0,14,-3,6,-49,-30
on,-19,35,-23,24,-41,7
off,2,18,-33,-18,-27,-17
on,-26,27,-10,40,-20,30
off,10,21,-6,12,-31,-18
on,-41,4,-48,6,-18,28
off,-48,-37,-46,-28,15,26
on,-42,9,-3,41,0,49
off,-25,-14,-1,13,17,28
on,-6,48,-23,29,-40,13
on,33437,56338,12827,43842,45512,79325
on,-17342,3165,-94930,-58559,-33356,-16702
on,59487,67989,-40780,-27724,26492,52049
on,18242,35449,-37046,-9836,49310,82186
on,-27603,-6975,49383,54200,59064,77711
on,41065,67320,59371,73606,-19211,7672
on,-2549,20933,-63492,-41908,-70158,-52821
on,-51910,-44518,59764,62391,22604,29458
on,56200,75731,-27746,-13374,-34980,-25179
on,-7631,27550,-69774,-54066,-70650,-33166
on,27578,42851,-75597,-72343,-19560,16754
on,-6878,11072,42099,70170,48782,73011
on,70156,94750,-70,25231,948,14653
on,-40062,-27035,-75430,-67698,18543,33830
on,-81636,-61039,2866,18618,15873,26478
on,-72782,-63455,4714,26418,-52162,-32914
on,70975,86474,-28052,-18354,-15892,10277
on,-21601,6945,50585,81690,-49699,-31684
on,20141,40434,-95907,-69218,-15108,11374
on,36908,69871,32892,59654,29200,57891
on,361,24312,67326,72968,20325,48008
on,-69171,-55700,40493,52477,-32109,-13746
on,-55329,-32849,18673,46758,-67551,-42790
on,33826,58282,48321,74097,18290,41319
on,-27239,-8541,-22881,88,73663,86430
on,26507,48226,16841,28506,-69139,-53270
on,53809,76860,13829,20865,-38477,-19649
on,31042,57342,-75797,-51877,6810,22228
on,-57999,-41870,-63042,-48886,-52539,-19071
on,-26910,-14235,-42398,-23278,68243,86894
on,52252,74857,-19977,-8598,40373,58714
on,50010,74284,41007,44474,-4066,6641
on,-49349,-30889,36058,45942,-74841,-36743
on,-66759,-32543,48052,70654,19792,34201
on,-38195,-17986,-85103,-73270,-14419,2417
on,-54218,-39823,45436,73414,3347,36613
on,7369,25671,-59478,-38270,-56879,-54151
on,2256,31577,-94146,-72126,-4317,5999
on,-40900,-17098,-76036,-57685,-48786,-25459
on,-95207,-73375,-9149,9428,23275,38018
on,-36850,-26928,-37292,-10502,64014,81151
on,-59033,-36526,43232,65115,-55165,-32801
on,-89130,-71599,16261,29112,13592,32099
on,-35925,-23850,30571,48852,50456,69805
on,55748,82830,-41931,-36569,20305,27083
on,2625,31989,-83863,-59167,21008,35199
on,-17120,8196,-15952,20689,-97634,-63082
on,67797,80569,-4947,4065,-23771,-13125
on,17722,26181,63634,77078,-40399,-14266
on,-24714,-17103,-58596,-33755,38217,62404
on,-35587,-23621,46012,80548,26588,46795
on,31936,40355,-67030,-49381,-50268,-14784
on,5596,13661,-74958,-45275,40407,69288
on,38612,67368,-60786,-37973,23314,46473
on,-72045,-52232,-21032,-8164,-52171,-23686
on,-29968,-4151,-24768,8715,-89266,-60234
on,-37509,-23170,60310,83858,28551,38985
on,-68577,-35018,2999,23020,38096,58076
on,-70238,-46751,-62914,-49025,-12150,18310
on,-57173,-44897,-66415,-50723,-12817,4244
on,-13706,1019,28466,57936,-74905,-49591
on,-72607,-45585,-71863,-37894,-41318,-24112
on,54095,74330,-70866,-44913,-16762,-4913
on,50668,74672,-52426,-21786,25368,44293
on,-7034,20115,-9693,17713,-85683,-66007
on,50471,66846,27203,61489,4211,19870
on,-45900,-8537,56117,84621,15593,49599
on,-57555,-29431,-23406,-1928,-76476,-47096
on,13660,32420,-17969,-10006,-96788,-60606
on,66346,96729,9181,27708,-16591,11613
on,-78750,-61738,17521,50078,-33313,-12817
on,-1994,12887,1003,26974,-81281,-61765
on,-78118,-47747,-36234,-13180,-58773,-43656
on,8567,29515,67122,95882,9275,32341
on,-77707,-61614,14468,31616,31062,56551
on,-41615,-19627,28997,35740,-81998,-65477
on,-48052,-38972,-68139,-45048,31724,39389
on,-23082,2058,59185,88471,32749,48405
on,-75158,-50341,-13609,6898,-46696,-37869
on,-32414,-20971,11061,41294,61244,84706
on,4815,30502,-30209,-12179,-96509,-71288
on,-37897,-7477,-39767,-16117,64382,74721
on,52144,72942,17844,45538,-58438,-25227
on,-49398,-12795,56353,74616,9023,26905
on,46915,68081,11021,16074,-66835,-44586
on,23443,44134,59717,72628,-5705,25287
on,-51367,-31498,53972,66920,-33369,-5601
on,64880,87795,-25662,1781,2696,31936
on,-70854,-33390,39648,40840,-50688,-37989
on,23908,47949,-82674,-48695,20546,41974
on,46954,51195,39161,56472,37602,51128
on,11517,29536,-29920,-8358,68433,84983
on,-94466,-57419,-13379,8308,6519,27984
on,-54018,-31105,20101,39414,-83628,-50027
on,-85145,-58647,13861,36615,2945,17633
on,-43689,-27994,-81519,-68896,-5565,18293
on,-57442,-29781,-75713,-51718,-19561,10528
on,-96614,-71443,4298,19595,-15543,-8479
on,-4983,6836,-73083,-52295,-53115,-19323
on,-87354,-57072,-53989,-20809,-28499,7938
on,44429,59086,-17701,18642,54239,70453
on,-7490,9995,-51625,-28653,51656,86887
on,6333,20981,-96081,-59302,-7405,3774
on,-43893,-20347,46567,66155,-53307,-38008
on,57283,76995,39798,52904,-34469,-27279
on,-31364,-11438,22411,40749,-70531,-66561
on,53718,88004,-40108,-9779,991,28453
on,-17651,4676,58117,82206,-58760,-48210
on,-439,6290,-58250,-44204,-76031,-47610
on,-44688,-41724,60455,73374,15636,31159
on,-28875,-22544,-82606,-52627,-45244,-32570
on,-15984,-6960,-23413,-4029,60645,95782
on,-61769,-28435,57924,68804,9953,16109
on,-67804,-42717,-57246,-41937,-38286,-12750
on,58507,68248,35220,59797,-877,15963
on,-30359,-7600,-2344,29713,-91157,-73720
on,-79799,-68763,9997,27685,4601,27347
on,-35384,-1568,-81750,-68689,369,26982
on,-64852,-51910,-21519,7739,47934,74956
on,39228,72609,34051,61731,15726,47402
on,54184,83485,-23478,4300,19603,48425
on,16735,43379,-46508,-11847,60832,82954
on,-45821,-31159,62555,90058,5642,13116
on,73298,99452,-12818,12447,-12241,17805
on,-54926,-45244,-19135,-3467,58668,66114
on,-56698,-42018,-55343,-42385,-37607,-8542
on,59307,81618,19362,27550,15471,39075
on,-71448,-33061,-38627,-35422,-67952,-36183
on,-83215,-59852,16889,41028,-56,32938
